file; n; t,ms
lab3 ; 90 ; 1 ; 1
lab3 ; 258 ; 4 ; 1
lab3 ; 426 ; 13 ; 1
lab3 ; 594 ; 33 ; 1
lab3 ; 762 ; 62 ; 1
lab3 ; 930 ; 109 ; 1
lab3 ; 1098 ; 172 ; 1
lab3 ; 1266 ; 253 ; 1
lab3 ; 1434 ; 358 ; 1
lab3 ; 1602 ; 493 ; 1
lab3 ; 1770 ; 667 ; 1
lab3 ; 1770 ; 690 ; 1
lab3 ; 90 ; 1 ; 2
lab3 ; 258 ; 5 ; 2
lab3 ; 426 ; 14 ; 2
lab3 ; 594 ; 32 ; 2
lab3 ; 762 ; 63 ; 2
lab3 ; 930 ; 108 ; 2
lab3 ; 1098 ; 172 ; 2
lab3 ; 1266 ; 254 ; 2
lab3 ; 1434 ; 369 ; 2
lab3 ; 1602 ; 490 ; 2
lab3 ; 1770 ; 669 ; 2
lab3 ; 1770 ; 669 ; 2
lab3 ; 90 ; 4 ; 4
lab3 ; 258 ; 8 ; 4
lab3 ; 426 ; 17 ; 4
lab3 ; 594 ; 36 ; 4
lab3 ; 762 ; 68 ; 4
lab3 ; 930 ; 115 ; 4
lab3 ; 1098 ; 181 ; 4
lab3 ; 1266 ; 264 ; 4
lab3 ; 1434 ; 371 ; 4
lab3 ; 1602 ; 503 ; 4
lab3 ; 1770 ; 683 ; 4
lab3 ; 1770 ; 770 ; 4
lab3 ; 90 ; 135 ; 6
lab3 ; 258 ; 137 ; 6
lab3 ; 426 ; 140 ; 6
lab3 ; 594 ; 158 ; 6
lab3 ; 762 ; 190 ; 6
lab3 ; 930 ; 234 ; 6
lab3 ; 1098 ; 300 ; 6
lab3 ; 1266 ; 381 ; 6
lab3 ; 1434 ; 483 ; 6
lab3 ; 1602 ; 626 ; 6
lab3 ; 1770 ; 780 ; 6
lab3 ; 1770 ; 777 ; 6
lab3 ; 90 ; 174 ; 8
lab3 ; 258 ; 175 ; 8
lab3 ; 426 ; 192 ; 8
lab3 ; 594 ; 193 ; 8
lab3 ; 762 ; 224 ; 8
lab3 ; 930 ; 270 ; 8
lab3 ; 1098 ; 332 ; 8
lab3 ; 1266 ; 418 ; 8
lab3 ; 1434 ; 523 ; 8
lab3 ; 1602 ; 662 ; 8
lab3 ; 1770 ; 839 ; 8
lab3 ; 1770 ; 825 ; 8
