file; n; l; r
lab4_2  ; 90 ; 0.004732 ; 0.044735 ; 1
lab4_2  ; 258 ; 0.035066 ; 0.066600 ; 1
lab4_2  ; 426 ; 0.136466 ; 0.168222 ; 1
lab4_2  ; 594 ; 0.354349 ; 0.501503 ; 1
lab4_2  ; 762 ; 0.655325 ; 0.832736 ; 1
lab4_2  ; 930 ; 1.151551 ; 1.785348 ; 1
lab4_2  ; 1098 ; 1.814656 ; 2.039885 ; 1
lab4_2  ; 1266 ; -0.946430 ; 30.097510 ; 1
lab4_2  ; 1434 ; 3.431129 ; 6.051161 ; 1
lab4_2  ; 1602 ; 5.064839 ; 5.552723 ; 1
lab4_2  ; 1770 ; 6.574328 ; 7.202804 ; 1
lab4_2  ; 1770 ; 6.846863 ; 7.601311 ; 1
lab4_2  ; 90 ; 0.001674 ; 0.044658 ; 2
lab4_2  ; 258 ; 0.041691 ; 0.142584 ; 2
lab4_2  ; 426 ; 0.128887 ; 0.173843 ; 2
lab4_2  ; 594 ; 0.307078 ; 0.366089 ; 2
lab4_2  ; 762 ; 0.645589 ; 0.768681 ; 2
lab4_2  ; 930 ; 1.106789 ; 1.212922 ; 2
lab4_2  ; 1098 ; 1.723638 ; 1.933228 ; 2
lab4_2  ; 1266 ; 2.541233 ; 2.766699 ; 2
lab4_2  ; 1434 ; 3.779477 ; 4.029341 ; 2
lab4_2  ; 1602 ; 5.001001 ; 5.319392 ; 2
lab4_2  ; 1770 ; 6.910176 ; 7.784517 ; 2
lab4_2  ; 1770 ; 6.785351 ; 7.694332 ; 2
lab4_2  ; 90 ; -0.018505 ; 0.148429 ; 4
lab4_2  ; 258 ; 0.038239 ; 0.113056 ; 4
lab4_2  ; 426 ; -0.248127 ; 3.539977 ; 4
lab4_2  ; 594 ; 0.302096 ; 0.417253 ; 4
lab4_2  ; 762 ; 0.685971 ; 1.032064 ; 4
lab4_2  ; 930 ; 1.035613 ; 1.504364 ; 4
lab4_2  ; 1098 ; 1.815229 ; 2.050558 ; 4
lab4_2  ; 1266 ; 2.640016 ; 2.864476 ; 4
lab4_2  ; 1434 ; 3.754517 ; 5.029733 ; 4
lab4_2  ; 1602 ; 5.312103 ; 5.905692 ; 4
lab4_2  ; 1770 ; 7.023058 ; 7.917238 ; 4
lab4_2  ; 1770 ; 6.839165 ; 7.643664 ; 4
lab4_2  ; 90 ; 1.391778 ; 1.477294 ; 6
lab4_2  ; 258 ; 1.307451 ; 1.385288 ; 6
lab4_2  ; 426 ; 1.367653 ; 1.439139 ; 6
lab4_2  ; 594 ; 1.516076 ; 1.619541 ; 6
lab4_2  ; 762 ; 1.857098 ; 2.016501 ; 6
lab4_2  ; 930 ; 2.374339 ; 2.489013 ; 6
lab4_2  ; 1098 ; 2.992010 ; 3.132501 ; 6
lab4_2  ; 1266 ; 3.806014 ; 4.048602 ; 6
lab4_2  ; 1434 ; 5.050430 ; 5.298515 ; 6
lab4_2  ; 1602 ; 6.393031 ; 6.809807 ; 6
lab4_2  ; 1770 ; 7.717432 ; 8.442697 ; 6
lab4_2  ; 1770 ; 7.941772 ; 8.401370 ; 6
lab4_2  ; 90 ; 1.713487 ; 1.781969 ; 8
lab4_2  ; 258 ; 1.762961 ; 1.841579 ; 8
lab4_2  ; 426 ; 1.729670 ; 1.811179 ; 8
lab4_2  ; 594 ; 1.906595 ; 2.016398 ; 8
lab4_2  ; 762 ; 2.209646 ; 2.416820 ; 8
lab4_2  ; 930 ; 2.642681 ; 2.856524 ; 8
lab4_2  ; 1098 ; 3.298124 ; 3.496864 ; 8
lab4_2  ; 1266 ; 4.184916 ; 4.450542 ; 8
lab4_2  ; 1434 ; 5.451761 ; 5.790671 ; 8
lab4_2  ; 1602 ; 6.673015 ; 6.941461 ; 8
lab4_2  ; 1770 ; 8.396341 ; 8.994639 ; 8
lab4_2  ; 1770 ; 8.273311 ; 8.797971 ; 8
